LLM_Input
"The Apple 13-inch MacBook Air (M1 CPU) 256GB - 2020 (Workplace) has a total estimated carbon footprint of 161.0 kgCO₂eq over its 3.0 years of use. About 15.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in nan. The manufacturing phase contributes 76.00% to the total emissions. The device weighs nan kg and has nanGB RAM, SSD 256GB storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo V510z AIO (Workplace) has a total estimated carbon footprint of 608.0 kgCO₂eq over its nan years of use. About 58.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 6.39 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo V520 SFF (Workplace) has a total estimated carbon footprint of 740.0 kgCO₂eq over its 5.0 years of use. About 58.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in Asia. The manufacturing phase contributes nan% to the total emissions. The device weighs 5.2 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo V530 SFF (Workplace) has a total estimated carbon footprint of 825.0 kgCO₂eq over its 5.0 years of use. About 47.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 4.2 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo V530 Tower (Workplace) has a total estimated carbon footprint of 678.0 kgCO₂eq over its 5.0 years of use. About 51.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo V530-22 AIO (Workplace) has a total estimated carbon footprint of 663.0 kgCO₂eq over its nan years of use. About 42.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 6.22 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo V530-24 AIO (Workplace) has a total estimated carbon footprint of 742.0 kgCO₂eq over its nan years of use. About 45.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 6.92 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo V530S Desktop (Workplace) has a total estimated carbon footprint of 883.0 kgCO₂eq over its 5.0 years of use. About 48.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 4.2 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo V55 Tower (Workplace) has a total estimated carbon footprint of 706.0 kgCO₂eq over its 5.0 years of use. About 60.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in WW and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 6.85 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo V720-14 (Workplace) has a total estimated carbon footprint of 252.0 kgCO₂eq over its 5.0 years of use. About 21.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.46 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo Y720-15 (Workplace) has a total estimated carbon footprint of 437.0 kgCO₂eq over its 5.0 years of use. About 30.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 3.0 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo YOGA 520-14/FLEX 5-14 (Workplace) has a total estimated carbon footprint of 306.0 kgCO₂eq over its 5.0 years of use. About 20.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.8 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo YOGA 710-11ISK (Workplace) has a total estimated carbon footprint of 389.0 kgCO₂eq over its 5.0 years of use. About 44.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.07 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo YOGA 710-15ISK (Workplace) has a total estimated carbon footprint of 405.0 kgCO₂eq over its 5.0 years of use. About 31.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.89 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo YOGA 720 (Workplace) has a total estimated carbon footprint of 312.0 kgCO₂eq over its 5.0 years of use. About 25.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.3 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo YOGA 900-13ISK2 (Workplace) has a total estimated carbon footprint of 409.0 kgCO₂eq over its 5.0 years of use. About 44.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.4 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo YOGA 910-13IKB (Workplace) has a total estimated carbon footprint of 409.0 kgCO₂eq over its 5.0 years of use. About 44.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.4 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo YOGA 920. Lenovo YOGA 920 Glass (Workplace) has a total estimated carbon footprint of 365.0 kgCO₂eq over its 5.0 years of use. About 30.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.35 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo Yoga Book C930 (Workplace) has a total estimated carbon footprint of 192.0 kgCO₂eq over its 3.0 years of use. About 38.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 0.881 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo Yoga C640-13 LTE (Workplace) has a total estimated carbon footprint of 200.0 kgCO₂eq over its 5.0 years of use. About 16.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.3 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo Yoga C640-13 (Workplace) has a total estimated carbon footprint of 200.0 kgCO₂eq over its 5.0 years of use. About 16.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.3 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo Yoga C740-14 (Workplace) has a total estimated carbon footprint of 221.0 kgCO₂eq over its 5.0 years of use. About 23.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.35 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo Yoga C740-15 (Workplace) has a total estimated carbon footprint of 243.0 kgCO₂eq over its 5.0 years of use. About 22.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.9 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo Yoga C940-14/C940-14 BE (Workplace) has a total estimated carbon footprint of 291.0 kgCO₂eq over its 5.0 years of use. About 34.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.35 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo Yoga C940-15 (Workplace) has a total estimated carbon footprint of 365.0 kgCO₂eq over its 5.0 years of use. About 28.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 2.0 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo YOGA Chromebook C630 (Workplace) has a total estimated carbon footprint of 211.0 kgCO₂eq over its 5.0 years of use. About 36.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.2 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo Yoga Creator 7 15 (Workplace) has a total estimated carbon footprint of 329.0 kgCO₂eq over its 5.0 years of use. About 25.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.925 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo Yoga S740-15/IdeaPad S740-15/S740-15 Touch (Workplace) has a total estimated carbon footprint of 394.0 kgCO₂eq over its 5.0 years of use. About 19.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 2.0 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lenovo Yoga Slim 7-14/IdeaPad Slim 7-14 (Workplace) has a total estimated carbon footprint of 238.0 kgCO₂eq over its 5.0 years of use. About 24.00% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in US and was assembled in CN. The manufacturing phase contributes nan% to the total emissions. The device weighs 1.44 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Lexmark B3340dw (Workplace) has a total estimated carbon footprint of 8230.0 kgCO₂eq over its 5.0 years of use. About 98.91% of this impact comes from the usage phase, with an estimated yearly energy demand of 23.4 kWh. The device is used mainly in US and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, 42ppm storage, and nan CPUs. For servers, the type is Laser, with a height of nanU."
"The Lexmark B3442dw (Workplace) has a total estimated carbon footprint of 8730.0 kgCO₂eq over its 5.0 years of use. About 99.08% of this impact comes from the usage phase, with an estimated yearly energy demand of 24.4 kWh. The device is used mainly in US and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, 42ppm storage, and nan CPUs. For servers, the type is Laser, with a height of nanU."
"The Lexmark C3224dw (Workplace) has a total estimated carbon footprint of 5590.0 kgCO₂eq over its 5.0 years of use. About 97.67% of this impact comes from the usage phase, with an estimated yearly energy demand of 15.08 kWh. The device is used mainly in US and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, 24ppm storage, and nan CPUs. For servers, the type is Laser Couleur, with a height of nanU."
"The Lexmark C3326dw (Workplace) has a total estimated carbon footprint of 5750.0 kgCO₂eq over its 5.0 years of use. About 97.74% of this impact comes from the usage phase, with an estimated yearly energy demand of 16.12 kWh. The device is used mainly in US and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, 26ppm storage, and nan CPUs. For servers, the type is Laser Couleur, with a height of nanU."
"The Lexmark C3426dwe (Workplace) has a total estimated carbon footprint of 6130.0 kgCO₂eq over its 5.0 years of use. About 97.88% of this impact comes from the usage phase, with an estimated yearly energy demand of 18.72 kWh. The device is used mainly in US and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, 26ppm storage, and nan CPUs. For servers, the type is Laser Couleur, with a height of nanU."
"The Lexmark CX924dxe (Workplace) has a total estimated carbon footprint of 23800.0 kgCO₂eq over its 5.0 years of use. About 94.12% of this impact comes from the usage phase, with an estimated yearly energy demand of 260.0 kWh. The device is used mainly in US and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, 65ppm storage, and nan CPUs. For servers, the type is Laser Multi Couleur, with a height of nanU."
"The Lexmark MB3442adwe (Workplace) has a total estimated carbon footprint of 8770.0 kgCO₂eq over its 5.0 years of use. About 98.75% of this impact comes from the usage phase, with an estimated yearly energy demand of 28.0 kWh. The device is used mainly in US and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, 42ppm storage, and nan CPUs. For servers, the type is Laser Multi, with a height of nanU."
"The Lexmark MC3224dwe (Workplace) has a total estimated carbon footprint of 5610.0 kgCO₂eq over its 5.0 years of use. About 97.50% of this impact comes from the usage phase, with an estimated yearly energy demand of 17.68 kWh. The device is used mainly in US and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, 24ppm storage, and nan CPUs. For servers, the type is Laser Multi Couleur, with a height of nanU."
"The Lexmark MC3326adwe (Workplace) has a total estimated carbon footprint of 5780.0 kgCO₂eq over its 5.0 years of use. About 97.40% of this impact comes from the usage phase, with an estimated yearly energy demand of 17.68 kWh. The device is used mainly in US and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, 26ppm storage, and nan CPUs. For servers, the type is Laser Multi Couleur, with a height of nanU."
"The Lexmark MC3426adwe (Workplace) has a total estimated carbon footprint of 6150.0 kgCO₂eq over its 5.0 years of use. About 97.72% of this impact comes from the usage phase, with an estimated yearly energy demand of 19.24 kWh. The device is used mainly in US and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, 26ppm storage, and nan CPUs. For servers, the type is Laser Multi Couleur, with a height of nanU."
"The Lexmark MX331adne (Workplace) has a total estimated carbon footprint of 8250.0 kgCO₂eq over its 5.0 years of use. About 98.67% of this impact comes from the usage phase, with an estimated yearly energy demand of 22.8 kWh. The device is used mainly in US and was assembled in nan. The manufacturing phase contributes nan% to the total emissions. The device weighs nan kg and has nanGB RAM, 40ppm storage, and nan CPUs. For servers, the type is Laser Multi, with a height of nanU."
"The Microsoft Surface Book 2  13.5-inch display (Workplace) has a total estimated carbon footprint of 308.0 kgCO₂eq over its 3.0 years of use. About 11.40% of this impact comes from the usage phase, with an estimated yearly energy demand of 20.9 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 84.10% to the total emissions. The device weighs 1.534 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Book 2  15-inch display (Workplace) has a total estimated carbon footprint of 370.0 kgCO₂eq over its 3.0 years of use. About 10.30% of this impact comes from the usage phase, with an estimated yearly energy demand of 23.0 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 85.10% to the total emissions. The device weighs 1.905 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Book 3  13.5-inch display (Workplace) has a total estimated carbon footprint of 303.0 kgCO₂eq over its 3.0 years of use. About 15.50% of this impact comes from the usage phase, with an estimated yearly energy demand of 26.4 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 80.20% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Book 3  15-inch display (Workplace) has a total estimated carbon footprint of 421.0 kgCO₂eq over its 3.0 years of use. About 12.60% of this impact comes from the usage phase, with an estimated yearly energy demand of 29.8 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 84.10% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Duo 2 (Workplace) has a total estimated carbon footprint of 94.1 kgCO₂eq over its 3.0 years of use. About 30.40% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 65.90% to the total emissions. The device weighs 0.284 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Duo (Workplace) has a total estimated carbon footprint of 75.2 kgCO₂eq over its 3.0 years of use. About 33.20% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 61.20% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Go 2 (Workplace) has a total estimated carbon footprint of 107.0 kgCO₂eq over its 3.0 years of use. About 25.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 12.02 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 72.00% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Go 3 (Workplace) has a total estimated carbon footprint of 106.0 kgCO₂eq over its 3.0 years of use. About 18.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 12.02 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 78.30% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Go (Workplace) has a total estimated carbon footprint of 93.8 kgCO₂eq over its 3.0 years of use. About 30.50% of this impact comes from the usage phase, with an estimated yearly energy demand of 12.8 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 69.90% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Hub 2S 50 50-inch display (Workplace) has a total estimated carbon footprint of 1224.0 kgCO₂eq over its 5.0 years of use. About 39.40% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 56.90% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Hub 2S 85in (Workplace) has a total estimated carbon footprint of 2910.0 kgCO₂eq over its 5.0 years of use. About 40.20% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 54.60% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop 2 (Workplace) has a total estimated carbon footprint of 152.0 kgCO₂eq over its 3.0 years of use. About 14.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 15.26 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 75.60% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop 3 13.5-inch display Alcantara® palm rest (Workplace) has a total estimated carbon footprint of 127.0 kgCO₂eq over its 3.0 years of use. About 21.30% of this impact comes from the usage phase, with an estimated yearly energy demand of 14.1 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 71.70% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop 3 13.5-inch display metal palm rest (Workplace) has a total estimated carbon footprint of 138.0 kgCO₂eq over its 3.0 years of use. About 18.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 14.1 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 73.90% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop 3 15-inch display Alcantara® palm rest (Workplace) has a total estimated carbon footprint of 178.0 kgCO₂eq over its 3.0 years of use. About 21.30% of this impact comes from the usage phase, with an estimated yearly energy demand of 18.78 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 71.90% to the total emissions. The device weighs 1.489 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop 3 15-inch display metal palm rest (Workplace) has a total estimated carbon footprint of 181.0 kgCO₂eq over its 3.0 years of use. About 21.00% of this impact comes from the usage phase, with an estimated yearly energy demand of 18.78 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 72.40% to the total emissions. The device weighs 1.542 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop 4 13.5-inch display Alcantara® palm rest (Workplace) has a total estimated carbon footprint of 145.0 kgCO₂eq over its 3.0 years of use. About 15.20% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 77.90% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop 4 13.5-inch display metal palm rest (Workplace) has a total estimated carbon footprint of 165.0 kgCO₂eq over its 3.0 years of use. About 13.30% of this impact comes from the usage phase, with an estimated yearly energy demand of nan kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 80.60% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop 4 15-inch display metal palm rest (Workplace) has a total estimated carbon footprint of 199.0 kgCO₂eq over its 3.0 years of use. About 11.10% of this impact comes from the usage phase, with an estimated yearly energy demand of 14.97 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 82.40% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop Go 2 (Workplace) has a total estimated carbon footprint of 115.0 kgCO₂eq over its 3.0 years of use. About 21.70% of this impact comes from the usage phase, with an estimated yearly energy demand of 13.2 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 71.30% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop Go (Workplace) has a total estimated carbon footprint of 121.0 kgCO₂eq over its 3.0 years of use. About 18.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 12.7 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 74.40% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop SE (Workplace) has a total estimated carbon footprint of 101.0 kgCO₂eq over its 3.0 years of use. About 20.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 12.7 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 69.30% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop Studio (Workplace) has a total estimated carbon footprint of 212.0 kgCO₂eq over its 3.0 years of use. About 11.30% of this impact comes from the usage phase, with an estimated yearly energy demand of 16.05 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 83.00% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Laptop (Workplace) has a total estimated carbon footprint of 152.0 kgCO₂eq over its 3.0 years of use. About 14.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 15.26 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 75.60% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Pro (5th Gen) (Workplace) has a total estimated carbon footprint of 121.0 kgCO₂eq over its 3.0 years of use. About 23.10% of this impact comes from the usage phase, with an estimated yearly energy demand of 18.2 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 70.70% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Pro 6 (Workplace) has a total estimated carbon footprint of 115.0 kgCO₂eq over its 3.0 years of use. About 26.10% of this impact comes from the usage phase, with an estimated yearly energy demand of 16.2 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 72.20% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Pro 7 (Workplace) has a total estimated carbon footprint of 164.0 kgCO₂eq over its 3.0 years of use. About 18.90% of this impact comes from the usage phase, with an estimated yearly energy demand of 16.4 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 76.80% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Pro 7+ (Workplace) has a total estimated carbon footprint of 181.0 kgCO₂eq over its 3.0 years of use. About 15.50% of this impact comes from the usage phase, with an estimated yearly energy demand of 14.8 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 81.20% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Pro 8 (Workplace) has a total estimated carbon footprint of 141.0 kgCO₂eq over its 3.0 years of use. About 16.30% of this impact comes from the usage phase, with an estimated yearly energy demand of 13.6 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 79.40% to the total emissions. The device weighs 0.891 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Pro X (Workplace) has a total estimated carbon footprint of 116.0 kgCO₂eq over its 3.0 years of use. About 19.80% of this impact comes from the usage phase, with an estimated yearly energy demand of 14.7 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 74.10% to the total emissions. The device weighs 0.774 kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
"The Microsoft Surface Studio 2 (Workplace) has a total estimated carbon footprint of 601.0 kgCO₂eq over its 3.0 years of use. About 6.20% of this impact comes from the usage phase, with an estimated yearly energy demand of 195.1 kWh. The device is used mainly in nan and was assembled in nan. The manufacturing phase contributes 62.60% to the total emissions. The device weighs nan kg and has nanGB RAM, nan storage, and nan CPUs. For servers, the type is nan, with a height of nanU."
